	Date	Algerian dinar(DZD)	Australian dollar(AUD)	Botswana pula(BWP)	Brazilian real(BRL)	Brunei dollar(BND)	Canadian dollar(CAD)	Chilean peso(CLP)	Chinese yuan(CNY)	Czech koruna(CZK)	Danish krone(DKK)	Euro(EUR)	Indian rupee(INR)	Israeli New Shekel(ILS)	Japanese yen(JPY)	Korean won(KRW)	Kuwaiti dinar(KWD)	Malaysian ringgit(MYR)	Mauritian rupee(MUR)	Mexican peso(MXN)	New Zealand dollar(NZD)	Norwegian krone(NOK)	Omani rial(OMR)	Peruvian sol(PEN)	Philippine peso(PHP)	Polish zloty(PLN)	Qatari riyal(QAR)	Russian ruble(RUB)	Saudi Arabian riyal(SAR)	Singapore dollar(SGD)	South African rand(ZAR)	Swedish krona(SEK)	Swiss franc(CHF)	Thai baht(THB)	Trinidadian dollar(TTD)	U.A.E. dirham(AED)	U.K. pound(GBP)	U.S. dollar(USD)	Uruguayan peso(UYU)	
	17-Dec-2021	138.893  	0.7167  	0.0853  	5.6953  	1.3652  	1.2846  	849.65  	6.3723  	22.299  	6.5635  	1.133  	76.1733  	3.115  	113.85  	1183.5  		4.2105  	43.4913  	20.7337  	0.6798  	8.9835  		4.032  	50.135  	4.0882  		73.733  		1.3652  	15.8416  	9.0398  	0.9196  	33.381  	6.7751  		1.3287  	1  	44.363  	
	20-Dec-2021	139.1023  	0.7109  	0.085  	5.7049  	1.3675  	1.2942  	846.64  	6.3783  	22.379  	6.5966  	1.1273  	75.9865  	3.152  	113.59  	1184.4  	0.3027  	4.226  	43.5506  	20.7363  	0.6734  	9.0406  	0.3845  	4.039  	49.964  	4.1182  	3.64  	74.2947  	3.75  	1.3675  	15.8514  	9.145  	0.92365  	33.492  	6.7703  	3.6725  	1.32015  	1  	44.337  	
	21-Dec-2021	138.9914  	0.7113  	0.0855  	5.7367  	1.366  	1.2927  	863.21  	6.3716  	22.348  	6.5836  	1.1295  	75.5925  	3.164  	113.65  	1189.8  	0.3027  	4.2115  	43.5701  		0.6712  	8.9852  	0.3845  	4.05  	49.954  	4.0937  	3.64  	73.8206  	3.75  	1.366  	15.84915  	9.1304  	0.92225  	33.682  		3.6725  	1.32465  	1  		
	22-Dec-2021	139.0653  	0.7133  	0.0851  	5.7195  	1.3649  	1.2865  	868.76  	6.3735  	22.34  	6.5801  	1.1301  	75.5947  	3.165  	114.16  	1191.5  	0.3027  	4.21  	43.6172  	20.7527  	0.6758  	8.903  	0.3845  	4.043  	49.914  	4.0984  	3.64  	73.7901  	3.75  	1.3649  	15.87935  	9.151  	0.92285  	33.769  	6.7716  	3.6725  	1.3315  	1  	44.383  	
	23-Dec-2021		0.721  	0.0857  	5.6904  	1.3615  		866.25  	6.3704  	22.178  	6.5749  	1.131  	75.3481  	3.15  	114.21  	1191.2  	0.3025  	4.206  	43.6204  	20.6582  	0.6808  	8.8517  	0.3845  		50.038  	4.095  	3.64  	73.3583  		1.3615  	15.193  	9.1164  	0.9202  	33.593  		3.6725  	1.3434  	1  	44.4  	
	03-Jan-2022	138.6713  			5.6303  	1.351  		844.69  		21.86  	6.5506  	1.1355  	74.3115  	3.092  		1185.5  	0.3025  	4.171  		20.589  		8.8078  	0.3845  	3.987  	50.974  	4.0424  	3.64  		3.75  	1.351  	15.82355  	9.0504  	0.9121  		6.7742  	3.6725  		1  	44.614  	
	04-Jan-2022	138.9115  	0.7211  		5.677  	1.3548  	1.2708  	851.43  	6.3751  	21.944  	6.5944  	1.1279  	74.5717  	3.094  	115.42  	1190.8  	0.30265  	4.1815  	43.5069  	20.4742  		8.8783  	0.3845  	3.963  	50.989  	4.0468  			3.75  	1.3548  	16.0426  	9.0956  	0.9187  	33.311  	6.7723  	3.6725  	1.34955  	1  	44.725  	
	05-Jan-2022	138.856  	0.7232  	0.0848  	5.6622  	1.3557  	1.2717  	852.03  	6.372  	21.739  	6.5716  	1.1319  	74.484  	3.093  	116.2  	1194.3  	0.30265  	4.1905  	43.4163  	20.3977  	0.6813  	8.8057  	0.3845  	3.953  	51.246  	4.0396  			3.75  	1.3557  	15.85395  	9.0676  	0.9151  	33.198  	6.7495  	3.6725  	1.3541  	1  	44.731  	
	06-Jan-2022	138.893  	0.7177  	0.085  	5.7036  	1.3584  	1.2741  	841.63  	6.3742  	21.679  	6.5747  	1.1315  	74.4398  	3.109  	116.04  	1198.2  	0.30265  	4.202  	43.4556  	20.4588  	0.679  	8.8688  	0.3845  	3.967  	51.108  				3.75  	1.3584  	15.77045  		0.9178  	33.372  	6.7824  	3.6725  	1.3537  	1  		
	07-Jan-2022	139.3305  	0.7162  	0.0855  	5.6747  	1.3588  	1.2666  	838.88  	6.3734  	21.626  	6.5835  	1.1298  	74.2939  	3.109  	115.89  	1199.6  		4.2025  	43.5147  	20.4237  	0.6745  	8.8766  		3.948  	51.131  	4.0279  				1.3588  	15.62175  	9.1235  	0.92215  	33.6  	6.7811  		1.3551  	1  	44.515  	
	10-Jan-2022	139.3173  	0.7193  	0.0858  	5.673  	1.3556  	1.2679  	831.59  	6.3726  	21.525  	6.5719  	1.1318  	74.163  	3.116  		1202.4  	0.30255  	4.2013  	43.5967  	20.4453  	0.6777  	8.8578  	0.3845  	3.925  	51.249  	4.0064  		75.1315  	3.75  	1.3556  	15.7161  	9.0935  	0.92195  	33.693  	6.7794  	3.6725  	1.35835  	1  	44.671  	
	11-Jan-2022	139.4581  	0.7186  	0.0858  	5.6345  	1.3543  	1.2606  	831.39  	6.3726  	21.538  	6.5635  	1.1336  	73.9319  	3.127  	115.32  	1200  	0.30255  	4.1928  	43.5771  	20.3785  	0.677  	8.836  	0.3845  		51.347  	4.0106  		74.8355  	3.75  	1.3543  	15.63565  	9.0741  	0.9264  	33.509  	6.7881  	3.6725  	1.3584  	1  	44.63  	
	12-Jan-2022		0.7218  	0.0862  	5.5605  	1.3506  	1.251  	832.6  	6.3645  	21.47  	6.5448  	1.137  	73.9968  	3.112  	115.33  	1195.2  	0.3024  	4.1825  	43.5742  	20.366  	0.6788  	8.7309  	0.3845  	3.897  	51.174  	3.9879  		74.5277  	3.75  	1.3506  	15.4941  	9.0389  	0.92355  	33.382  	6.7857  	3.6725  	1.36345  	1  	44.647  	
	13-Jan-2022	139.3972  	0.7291  	0.0868  	5.524  	1.3463  	1.2484  	826.51  	6.3605  	21.34  	6.4912  	1.1463  	73.9348  	3.117  	114.66  	1189.9  	0.30205  	4.1795  	43.6018  	20.3607  	0.6854  	8.6655  		3.895  	51.1  	3.9463  	3.64  	74.5686  	3.75  	1.3463  	15.3826  	8.9129  	0.91205  	33.238  	6.7796  	3.6725  	1.3725  	1  	44.555  	
	14-Jan-2022		0.7283  	0.0868  	5.5343  	1.3455  	1.2545  	821.87  	6.346  	21.4  	6.5007  	1.1447  	74.1157  	3.111  	114  	1188.2  		4.1785  	43.5676  	20.3118  	0.6859  	8.7239  		3.879  	51.115  	3.9597  		75.7668  		1.3455  	15.34835  	8.9245  	0.9114  	33.198  	6.7634  		1.3723  	1  	44.591  	
	18-Jan-2022	139.6451  	0.7195  	0.0864  	5.5207  	1.3488  	1.2529  	822  	6.3504  	21.488  	6.5475  	1.1367  	74.4115  	3.124  	114.54  	1192.3  	0.30225  			20.403  	0.6802  	8.7655  	0.3845  	3.848  	51.278  	3.9734  	3.64  	76.3347  	3.75  	1.3488  	15.42255  	9.0403  	0.915  	33.014  	6.7342  	3.6725  	1.3601  	1  	44.574  	
	19-Jan-2022	139.6831  	0.7188  	0.0862  	5.4972  	1.3509  	1.2492  	820.6  	6.3527  	21.427  	6.5596  	1.1345  	74.5955  	3.125  	114.7  	1188.9  	0.30235  	4.1925  	43.6117  	20.46  	0.6774  	8.7587  	0.3845  	3.859  	51.32  	3.993  	3.64  	76.8697  	3.75  	1.3509  	15.35035  	9.1356  	0.91605  	33.19  	6.7583  	3.6725  	1.3631  	1  	44.639  	
	20-Jan-2022	139.6498  	0.7238  	0.0866  	5.416  	1.3469  	1.2474  	813.46  	6.3424  	21.399  	6.5641  	1.1338  	74.3618  	3.134  	114.28  	1191.8  	0.30235  	4.1855  	43.6247  	20.4507  	0.6781  	8.7827  	0.3845  	3.851  	51.458  	3.9833  	3.64  	76.4408  	3.75  	1.3469  	15.21995  	9.1066  	0.91545  	32.939  	6.746  	3.6725  	1.3606  	1  	44.609  	
	21-Jan-2022	139.7826  	0.7192  	0.0869  	5.4395  	1.3462  	1.2545  	805.25  	6.3411  	21.452  	6.559  	1.1348  	74.5343  	3.14  	113.83  	1190.4  		4.1865  	43.6685  	20.4598  	0.6734  	8.8582  		3.82  	51.428  	3.9953  		76.6903  		1.3462  	15.1492  	9.1803  	0.91315  	33.012  	6.7542  		1.35575  	1  	44.534  	
	24-Jan-2022	139.8571  	0.718  	0.0871  	5.4904  	1.3448  	1.2656  	799.23  	6.3318  	21.694  	6.5845  	1.1304  	74.5788  	3.167  	113.83  	1193.6  	0.30225  	4.1835  	43.5937  	20.6308  	0.6712  	8.9913  	0.3845  	3.835  	51.423  	4.0049  	3.64  	77.3649  	3.75  	1.3448  	15.2689  	9.2027  	0.9124  	33.028  	6.753  	3.6725  	1.3488  	1  	44.538  	
	25-Jan-2022	139.8642  	0.7133  	0.0865  	5.4965  	1.3431  	1.2629  	800.31  	6.329  	21.737  	6.6061  	1.1268  	74.7025  	3.183  	113.98  	1194.2  	0.30235  	4.188  	43.7139  	20.6683  	0.6693  	8.9976  	0.3845  	3.843  	51.312  	4.0593  	3.64  	78.6422  	3.75  	1.3431  	15.328  	9.2734  	0.92015  	33.042  	6.7619  	3.6725  	1.3446  	1  	44.475  	
	26-Jan-2022	139.8758  		0.0868  		1.3438  	1.2606  	806.06  	6.3234  	21.744  	6.5993  	1.1277  		3.176  	113.81  	1197.8  	0.30235  	4.1905  	43.7167  	20.6415  	0.6682  	8.8778  	0.3845  	3.84  	51.313  	4.0684  	3.64  	78.9437  	3.75  	1.3438  	15.14135  	9.259  	0.9205  	32.959  	6.7672  	3.6725  	1.35115  	1  	44.293  	
	27-Jan-2022	140.0048  	0.7082  		5.3806  	1.3504  	1.2712  	798.86  	6.3612  	21.891  	6.6692  	1.116  	75.1724  	3.196  	114.67  	1197  	0.3027  	4.203  	43.8057  	20.7383  	0.6639  	8.9519  	0.3845  	3.833  	51.24  	4.083  	3.64  	78.947  	3.75  	1.3504  	15.25705  	9.3588  	0.93065  	33.189  	6.7745  	3.6725  	1.3386  	1  		
	28-Jan-2022	140.2881  	0.7028  	0.0859  	5.3948  	1.3529  	1.2772  	799.15  	6.3642  	21.94  	6.6827  	1.1138  	74.9513  	3.196  	115.44  	1202.4  		4.192  	43.8325  	20.8597  	0.6576  	9.0016  		3.839  	51.393  	4.1048  		77.8174  		1.3529  	15.59735  	9.4369  	0.93185  	33.272  	6.7495  		1.3389  	1  	44.165  	
	31-Jan-2022	140.3482  	0.7011  		5.3568  	1.3557  	1.2719  	810.12  		21.84  	6.6708  	1.1156  	74.9674  	3.195  	115.43  		0.303  	4.189  	43.6686  		0.6546  	8.9714  	0.3845  		51.273  	4.1147  	3.64  	77.4702  	3.75  	1.3557  	15.5724  	9.3811  	0.93395  	33.431  	6.7277  	3.6725  	1.3404  	1  	44.154  	
	01-Feb-2022	140.343  	0.7066  	0.0862  	5.2804  		1.2694  			21.615  	6.6081  	1.126  	74.5295  	3.169  	115.15  						0.657  	8.8488  	0.3845  	3.866  		4.0689  	3.64  	77.1302  	3.75  		15.2156  	9.2868  	0.921  	33.244  	6.7416  	3.6725  	1.3495  	1  	43.907  	
	02-Feb-2022	140.2995  	0.7134  		5.295  		1.2677  	801.52  		21.449  	6.5692  	1.1323  	74.8334  	3.16  	114.7  		0.30255  			20.6003  	0.6648  	8.7634  	0.3845  	3.852  	51.135  	4.0283  	3.64  	76.4849  	3.75  		15.27785  	9.2185  	0.91935  	33.211  	6.7292  	3.6725  	1.3565  	1  	43.854  	
	03-Feb-2022	140.3953  	0.712  		5.3019  	1.3473  		805.95  		21.402  		1.1286  	74.857  	3.186  	114.45  	1205.7  	0.30245  	4.1815  	43.536  	20.5562  	0.6619  	8.8202  		3.858  		4.0267  	3.64  	76.6501  	3.75  	1.3473  	15.3278  	9.2075  	0.9226  	33.159  	6.7419  	3.6725  	1.36015  	1  	43.773  	
	04-Feb-2022	140.2394  	0.715  		5.3278  	1.3431  	1.2758  	817.29  		21.251  	6.4927  	1.1464  	74.7231  	3.199  	115  	1205.4  		4.1795  	43.4937  	20.7325  	0.6672  				51.041  	3.9657  		76.0509  		1.3431  	15.3398  	9.1008  	0.92275  	33.015  			1.3574  	1  		
	07-Feb-2022	140.409  	0.7092  	0.0862  	5.2907  	1.3464  	1.2688  	825.58  	6.3567  	21.18  	6.5033  	1.1447  		3.195  	115.23  	1199.5  	0.3022  	4.1858  	43.674  			8.7934  	0.3845  	3.839  	51.029  	3.9872  	3.64  	75.6806  	3.75  	1.3464  	15.4731  	9.1471  	0.9235  	32.943  	6.7475  	3.6725  	1.3512  	1  	43.641  	
	08-Feb-2022	140.534  	0.7121  	0.0859  	5.2693  	1.3438  	1.2709  	826.93  	6.3711  	21.268  	6.525  	1.1408  	74.69  	3.224  	115.29  	1199.4  	0.3022  	4.1865  	43.743  		0.6642  	8.8322  	0.3845  	3.837  	51.293  	3.9693  		75.3042  	3.75  	1.3438  	15.4731  	9.1369  	0.9229  	32.972  	6.7659  	3.6725  	1.3544  	1  	43.454  	
	09-Feb-2022	140.4652  	0.7167  	0.0864  	5.2729  	1.344  	1.268  	824.33  	6.3623  	21.246  	6.5096  	1.1435  	74.818  	3.216  	115.53  	1197.8  	0.3022  	4.185  	43.7927  	20.5008  	0.6643  	8.7962  	0.3845  	3.821  		3.953  	3.64  	74.8015  	3.75  	1.344  		9.1313  	0.9235  	32.886  	6.7667  	3.6725  	1.3578  	1  	43.234  	
