"","date","real_income_from_the_sales_of_accessories_rand_millions","real_income_from_convenient_store_sales_rand_millions","real_total_rand_millions","real_total_rand_millions_seasonally_adjusted","real_income_from_fuel_sales_rand_millions","real_new_vehicle_sales_rand_millions","real_used_vehicle_sales_rand_millions","real_workshop_income_rand_millions","quarter","month","year"
"1",2005-09-01,3624,1282,30230,29308,7710,9645,5687,2281,2005.3,"September",2005
"2",2005-10-01,3918,1205,29938,30001,8032,8933,5594,2256,2005.4,"October",2005
"3",2005-11-01,4112,1410,31630,30348,7910,10007,5908,2284,2005.4,"November",2005
"4",2005-12-01,3586,1537,29482,29767,8165,8960,5198,2036,2005.4,"December",2005
"5",2006-01-01,3525,1304,28827,30137,7328,9564,5007,2098,2006.1,"January",2006
"6",2006-02-01,3848,1286,29987,30831,6994,10200,5363,2297,2006.1,"February",2006
"7",2006-03-01,3769,1486,31516,30401,7439,10656,5727,2438,2006.1,"March",2006
"8",2006-04-01,3490,1422,28957,32117,7118,9345,5317,2265,2006.2,"April",2006
"9",2006-05-01,3961,1400,32354,31618,7858,10676,5866,2593,2006.2,"May",2006
"10",2006-06-01,3813,1350,31426,31714,8079,9695,6051,2437,2006.2,"June",2006
"11",2006-07-01,3919,1535,34944,34350,8575,11931,6420,2564,2006.3,"July",2006
"12",2006-08-01,3961,1402,35037,33497,9049,11566,6330,2730,2006.3,"August",2006
"13",2006-09-01,3940,1535,34866,34596,8498,11457,6561,2875,2006.3,"September",2006
"14",2006-10-01,4471,1614,34583,33880,8144,10855,6566,2934,2006.4,"October",2006
"15",2006-11-01,4608,1436,35263,33919,7955,11282,7015,2966,2006.4,"November",2006
"16",2006-12-01,4015,1714,33084,34553,9376,10050,5576,2353,2006.4,"December",2006
"17",2007-01-01,4493,1535,34232,34872,8268,11305,6128,2503,2007.1,"January",2007
"18",2007-02-01,4651,1552,34432,35358,7904,10894,6657,2773,2007.1,"February",2007
"19",2007-03-01,4954,1795,36794,35728,8448,12011,6856,2731,2007.1,"March",2007
"20",2007-04-01,4212,1694,31735,34409,8601,9398,5427,2404,2007.2,"April",2007
"21",2007-05-01,4868,1650,36921,36225,9512,11007,7020,2864,2007.2,"May",2007
"22",2007-06-01,4534,1626,34149,35027,9362,9617,6327,2684,2007.2,"June",2007
"23",2007-07-01,4753,1667,36661,35360,9686,11022,6790,2744,2007.3,"July",2007
