Province,Municipality,Ward,VotingDistrict,VotingStationName,RegisteredVoters,BallotType,SpoiltVotes,PartyName,TotalValidVotes,DateGenerated
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,759,DC 40%,4,AFRICAN NATIONAL CONGRESS,319,11/23/2021 4:58:43 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,759,DC 40%,4,CONGRESS  OF THE PEOPLE,1,11/23/2021 4:58:43 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,759,DC 40%,4,DEMOCRATIC ALLIANCE,87,11/23/2021 4:58:43 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,759,DC 40%,4,ECONOMIC FREEDOM FIGHTERS,10,11/23/2021 4:58:43 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,759,DC 40%,4,GOOD,0,11/23/2021 4:58:43 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,759,DC 40%,4,KHOISAN REVOLUTION,0,11/23/2021 4:58:43 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,759,DC 40%,4,NAMAKWA CIVIC MOVEMENT,9,11/23/2021 4:58:43 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,759,DC 40%,4,NATIONAL ECONOMIC FIGHTERS,83,11/23/2021 4:58:43 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,759,DC 40%,4,PATRIOTIC ALLIANCE,0,11/23/2021 4:58:43 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,759,DC 40%,4,VRYHEIDSFRONT PLUS,0,11/23/2021 4:58:43 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,759,PR,2,AFRICAN NATIONAL CONGRESS,319,11/23/2021 4:58:43 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,759,PR,2,DEMOCRATIC ALLIANCE,92,11/23/2021 4:58:43 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,759,PR,2,ECONOMIC FREEDOM FIGHTERS,11,11/23/2021 4:58:43 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,759,PR,2,NAMAKWA CIVIC MOVEMENT,5,11/23/2021 4:58:43 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,759,PR,2,NATIONAL ECONOMIC FIGHTERS,84,11/23/2021 4:58:43 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,759,PR,2,VRYHEIDSFRONT PLUS,0,11/23/2021 4:58:43 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,759,Ward,2,AFRICAN NATIONAL CONGRESS,317,11/23/2021 4:58:43 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,759,Ward,2,DEMOCRATIC ALLIANCE,91,11/23/2021 4:58:43 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,759,Ward,2,ECONOMIC FREEDOM FIGHTERS,8,11/23/2021 4:58:43 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,759,Ward,2,INDEPENDENT,68,11/23/2021 4:58:43 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,759,Ward,2,NATIONAL ECONOMIC FIGHTERS,26,11/23/2021 4:58:43 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,759,Ward,2,VRYHEIDSFRONT PLUS,1,11/23/2021 4:58:43 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800021,EKSTEENFONTEIN COMMUNITY HALL,378,DC 40%,4,AFRICAN NATIONAL CONGRESS,77,11/23/2021 4:58:43 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800021,EKSTEENFONTEIN COMMUNITY HALL,378,DC 40%,4,CONGRESS  OF THE PEOPLE,1,11/23/2021 4:58:43 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800021,EKSTEENFONTEIN COMMUNITY HALL,378,DC 40%,4,DEMOCRATIC ALLIANCE,109,11/23/2021 4:58:43 PM
